2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.log_tracebacks.on (bool): True
2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.response_headers.headers (list): [('Server', 'Splunk')]
2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.response_headers.on (bool): True
2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.sessions.forceSecure (bool): False
2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.sessions.httponly (bool): True
2023-11-21 14:27:21,412 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.sessions.name (str): session_id_8000
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.sessions.on (bool): True
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.sessions.restart_persist (bool): True
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.sessions.secure (bool): False
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.sessions.storage_path (str): C:\Program Files\Splunk\var\run\splunk
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.sessions.storage_type (str): file
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.sessions.timeout (int): 60
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: tools.trailing_slash.on (bool): True
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: trap_module_exceptions (bool): True
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: trustedIP (str): 127.0.0.1
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: ui_inactivity_timeout (int): 60
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: updateCheckerBaseURL (str): https://quickdraw.splunk.com/js/
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: use_future_expires (bool): True
2023-11-21 14:27:21,413 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: userRegistrationURL (str): https://www.splunk.com/page/sign_up
2023-11-21 14:27:21,414 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: verifyCookiesWorkDuringLogin (bool): True
2023-11-21 14:27:21,414 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: version_label (str): UNKNOWN_VERSION
2023-11-21 14:27:21,414 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: version_number (str): 4.0
2023-11-21 14:27:21,414 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: x_frame_options_sameorigin (bool): True
2023-11-21 14:27:21,416 INFO	[655ca224c91c93dba8688] _cplogging:216 - [21/Nov/2023:14:27:21] ENGINE Bus STARTING
2023-11-21 14:27:21,416 INFO	[655ca224c91c93dba8688] root:166 - ENGINE: Bus STARTING
2023-11-21 14:27:21,416 INFO	[655ca224c91c93dba8688] _cplogging:216 - [21/Nov/2023:14:27:21] ENGINE Set handler for console events.
2023-11-21 14:27:21,416 INFO	[655ca224c91c93dba8688] root:166 - ENGINE: Set handler for console events.
2023-11-21 14:27:21,695 INFO	[655ca224c91c93dba8688] _cplogging:216 - [21/Nov/2023:14:27:21] ENGINE Serving on http://127.0.0.1:8065
2023-11-21 14:27:21,695 INFO	[655ca224c91c93dba8688] root:166 - ENGINE: Serving on http://127.0.0.1:8065
2023-11-21 14:27:21,696 INFO	[655ca224c91c93dba8688] _cplogging:216 - [21/Nov/2023:14:27:21] ENGINE Bus STARTED
2023-11-21 14:27:21,696 INFO	[655ca224c91c93dba8688] root:166 - ENGINE: Bus STARTED
2023-11-21 14:27:21,983 INFO	[655ca229fb1c93dfc2f48] _cplogging:216 - [21/Nov/2023:14:27:21]  storage_type is deprecated. Supply storage_class instead
2023-11-21 14:27:21,983 INFO	[655ca229fb1c93dfc2f48] _cplogging:216 - [21/Nov/2023:14:27:21] ENGINE Started monitor thread 'Monitor'.
2023-11-21 14:27:21,984 INFO	[655ca229fb1c93dfc2f48] root:166 - ENGINE: Started monitor thread 'Monitor'.
2023-11-21 14:27:35,234 INFO	[655ca237321c93e3af988] startup:139 - Splunk appserver version=UNKNOWN_VERSION build=000 isFree=False isTrial=True
2023-11-21 14:27:35,235 INFO	[655ca237321c93e3af988] decorators:272 - require_login - no splunkd sessionKey variable set; request_path=/en-US/
2023-11-21 14:27:35,235 INFO	[655ca237321c93e3af988] decorators:280 - require_login - redirecting to login
2023-11-21 14:27:35,411 INFO	[655ca2375d1c93e3c1508] startup:139 - Splunk appserver version=UNKNOWN_VERSION build=000 isFree=False isTrial=True
2023-11-21 14:27:35,449 INFO	[655ca237631c93e3d8c88] startup:139 - Splunk appserver version=UNKNOWN_VERSION build=000 isFree=False isTrial=True
2023-11-21 14:27:35,455 INFO	[655ca237631c93e3d8c88] i18n_catalog:46 - i18ncatalog: translations_retrieved=0.001992940902709961 etag_calculated=0.0009982585906982422 overall=0.002991199493408203
2023-11-21 14:27:53,570 INFO	[655ca249881c93e8d3f88] startup:139 - Splunk appserver version=UNKNOWN_VERSION build=000 isFree=False isTrial=True
2023-11-21 14:27:53,678 INFO	[655ca249a31c93e8d83c8] startup:139 - Splunk appserver version=8.1.0 build=f57c09e87251 isFree=False isTrial=True
2023-11-21 14:27:53,954 INFO	[655ca249a31c93e8d83c8] _cplogging:216 - [21/Nov/2023:14:27:53] ENGINE Started monitor thread 'Monitor'.
2023-11-21 14:27:53,954 INFO	[655ca249a31c93e8d83c8] root:166 - ENGINE: Started monitor thread 'Monitor'.
2023-11-21 14:27:53,955 INFO	[655ca249a31c93e8d83c8] cached:163 - C:\Program Files\Splunk\etc\apps\launcher\appserver\static\setup.json
2023-11-21 14:27:53,978 INFO	[655ca249f51c93e8fe288] startup:139 - Splunk appserver version=8.1.0 build=f57c09e87251 isFree=False isTrial=True
2023-11-21 14:27:54,092 INFO	[655ca249f51c93e8fe288] startup:139 - Splunk appserver version=8.1.0 build=f57c09e87251 isFree=False isTrial=True
2023-11-21 14:27:54,160 INFO	[655ca249f51c93e8fe288] view:1073 - bypass module system fast path
2023-11-21 14:27:54,252 INFO	[655ca249f51c93e8fe288] view:1091 - PERF - viewType=fastpath viewTime=0.1586s templateTime=0.0928s
2023-11-21 14:27:54,318 INFO	[655ca24a481c93e924b88] startup:139 - Splunk appserver version=8.1.0 build=f57c09e87251 isFree=False isTrial=True
