key,time,count
Date,0CB7ASUG000000,403
Description,0CB7ASUG000000,403
District,0CB7ASUG000000,403
Domestic,0CB7ASUG000000,403
FBI Code,0CB7ASUG000000,403
ID,0CB7ASUG000000,403
IUCR,0CB7ASUG000000,403
Latitude,0CB7ASUG000000,301
Location,0CB7ASUG000000,301
Location Description,0CB7ASUG000000,392
Longitude,0CB7ASUG000000,301
Primary Type,0CB7ASUG000000,403
Updated On,0CB7ASUG000000,403
Ward,0CB7ASUG000000,392
X Coordinate,0CB7ASUG000000,301
Y Coordinate,0CB7ASUG000000,301
Year,0CB7ASUG000000,403
date_hour,0CB7ASUG000000,403
date_mday,0CB7ASUG000000,403
date_minute,0CB7ASUG000000,403
date_month,0CB7ASUG000000,403
date_second,0CB7ASUG000000,403
date_wday,0CB7ASUG000000,403
date_year,0CB7ASUG000000,403
date_zone,0CB7ASUG000000,403
host,0CB7ASUG000000,403
linecount,0CB7ASUG000000,403
punct,0CB7ASUG000000,403
source,0CB7ASUG000000,403
sourcetype,0CB7ASUG000000,403
timeendpos,0CB7ASUG000000,403
timestartpos,0CB7ASUG000000,403
,0CB9Q06G000000,154
Arrest,0CB9Q06G000000,154
Beat,0CB9Q06G000000,154
Block,0CB9Q06G000000,154
Case Number,0CB9Q06G000000,154
Community Area,0CB9Q06G000000,154
Date,0CB9Q06G000000,154
Description,0CB9Q06G000000,154
District,0CB9Q06G000000,154
Domestic,0CB9Q06G000000,154
FBI Code,0CB9Q06G000000,154
ID,0CB9Q06G000000,154
IUCR,0CB9Q06G000000,154
Latitude,0CB9Q06G000000,68
Location,0CB9Q06G000000,68
Location Description,0CB9Q06G000000,149
Longitude,0CB9Q06G000000,68
Primary Type,0CB9Q06G000000,154
Updated On,0CB9Q06G000000,154
Ward,0CB9Q06G000000,154
X Coordinate,0CB9Q06G000000,68
Y Coordinate,0CB9Q06G000000,68
Year,0CB9Q06G000000,154
date_hour,0CB9Q06G000000,154
date_mday,0CB9Q06G000000,154
date_minute,0CB9Q06G000000,154
date_month,0CB9Q06G000000,154
date_second,0CB9Q06G000000,154
date_wday,0CB9Q06G000000,154
date_year,0CB9Q06G000000,154
date_zone,0CB9Q06G000000,154
host,0CB9Q06G000000,154
linecount,0CB9Q06G000000,154
punct,0CB9Q06G000000,154
source,0CB9Q06G000000,154
sourcetype,0CB9Q06G000000,154
timeendpos,0CB9Q06G000000,154
timestartpos,0CB9Q06G000000,154
,0CBCBNQG000000,89
Arrest,0CBCBNQG000000,89
Beat,0CBCBNQG000000,89
Block,0CBCBNQG000000,89
Case Number,0CBCBNQG000000,89
Community Area,0CBCBNQG000000,89
Date,0CBCBNQG000000,89
Description,0CBCBNQG000000,89
District,0CBCBNQG000000,89
Domestic,0CBCBNQG000000,89
FBI Code,0CBCBNQG000000,89
ID,0CBCBNQG000000,89
IUCR,0CBCBNQG000000,89
Latitude,0CBCBNQG000000,41
Location,0CBCBNQG000000,41
Location Description,0CBCBNQG000000,81
Longitude,0CBCBNQG000000,41
Primary Type,0CBCBNQG000000,89
Updated On,0CBCBNQG000000,89
Ward,0CBCBNQG000000,89
X Coordinate,0CBCBNQG000000,41
Y Coordinate,0CBCBNQG000000,41
Year,0CBCBNQG000000,89
date_hour,0CBCBNQG000000,89
date_mday,0CBCBNQG000000,89
date_minute,0CBCBNQG000000,89
date_month,0CBCBNQG000000,89
date_second,0CBCBNQG000000,89
date_wday,0CBCBNQG000000,89
date_year,0CBCBNQG000000,89
date_zone,0CBCBNQG000000,89
host,0CBCBNQG000000,89
linecount,0CBCBNQG000000,89
punct,0CBCBNQG000000,89
source,0CBCBNQG000000,89
sourcetype,0CBCBNQG000000,89
timeendpos,0CBCBNQG000000,89
timestartpos,0CBCBNQG000000,89
,0CBEQR2G000000,91
Arrest,0CBEQR2G000000,91
Beat,0CBEQR2G000000,91
Block,0CBEQR2G000000,91
Case Number,0CBEQR2G000000,91
Community Area,0CBEQR2G000000,91
Date,0CBEQR2G000000,91
Description,0CBEQR2G000000,91
District,0CBEQR2G000000,91
Domestic,0CBEQR2G000000,91
FBI Code,0CBEQR2G000000,91
ID,0CBEQR2G000000,91
IUCR,0CBEQR2G000000,91
Latitude,0CBEQR2G000000,38
Location,0CBEQR2G000000,38
Location Description,0CBEQR2G000000,82
Longitude,0CBEQR2G000000,38
Primary Type,0CBEQR2G000000,91
Updated On,0CBEQR2G000000,91
Ward,0CBEQR2G000000,91
X Coordinate,0CBEQR2G000000,38
Y Coordinate,0CBEQR2G000000,38
Year,0CBEQR2G000000,91
date_hour,0CBEQR2G000000,91
date_mday,0CBEQR2G000000,91
date_minute,0CBEQR2G000000,91
date_month,0CBEQR2G000000,91
date_second,0CBEQR2G000000,91
date_wday,0CBEQR2G000000,91
date_year,0CBEQR2G000000,91
date_zone,0CBEQR2G000000,91
host,0CBEQR2G000000,91
linecount,0CBEQR2G000000,91
punct,0CBEQR2G000000,91
source,0CBEQR2G000000,91
sourcetype,0CBEQR2G000000,91
timeendpos,0CBEQR2G000000,91
timestartpos,0CBEQR2G000000,91
,0CBHCIMG000000,180
Arrest,0CBHCIMG000000,180
Beat,0CBHCIMG000000,180
Block,0CBHCIMG000000,180
Case Number,0CBHCIMG000000,180
Community Area,0CBHCIMG000000,179
Date,0CBHCIMG000000,180
Description,0CBHCIMG000000,180
District,0CBHCIMG000000,180
Domestic,0CBHCIMG000000,180
FBI Code,0CBHCIMG000000,180
ID,0CBHCIMG000000,180
IUCR,0CBHCIMG000000,180
Latitude,0CBHCIMG000000,83
Location,0CBHCIMG000000,83
Location Description,0CBHCIMG000000,173
Longitude,0CBHCIMG000000,83
Primary Type,0CBHCIMG000000,180
Updated On,0CBHCIMG000000,180
Ward,0CBHCIMG000000,179
X Coordinate,0CBHCIMG000000,83
Y Coordinate,0CBHCIMG000000,83
Year,0CBHCIMG000000,180
date_hour,0CBHCIMG000000,180
date_mday,0CBHCIMG000000,180
date_minute,0CBHCIMG000000,180
date_month,0CBHCIMG000000,180
date_second,0CBHCIMG000000,180
date_wday,0CBHCIMG000000,180
date_year,0CBHCIMG000000,180
date_zone,0CBHCIMG000000,180
host,0CBHCIMG000000,180
linecount,0CBHCIMG000000,180
punct,0CBHCIMG000000,180
source,0CBHCIMG000000,180
sourcetype,0CBHCIMG000000,180
timeendpos,0CBHCIMG000000,180
timestartpos,0CBHCIMG000000,180
,0CBJUAAG000000,155
Arrest,0CBJUAAG000000,155
Beat,0CBJUAAG000000,155
Block,0CBJUAAG000000,155
Case Number,0CBJUAAG000000,155
Community Area,0CBJUAAG000000,154
Date,0CBJUAAG000000,155
Description,0CBJUAAG000000,155
District,0CBJUAAG000000,155
Domestic,0CBJUAAG000000,155
FBI Code,0CBJUAAG000000,155
ID,0CBJUAAG000000,155
IUCR,0CBJUAAG000000,155
Latitude,0CBJUAAG000000,91
Location,0CBJUAAG000000,91
Location Description,0CBJUAAG000000,150
Longitude,0CBJUAAG000000,91
Primary Type,0CBJUAAG000000,155
