07-13-2025 00:00:01.469 INFO  SearchParser [252508 searchOrchestrator] - PARSING: | search index=_internal sourcetype=scheduler NOT "action=ssg_mobile_alert"     |  table dispatch_time, savedsearch_name | rename * as schedulerlogs.* | rename schedulerlogs._* as _* | eval jk0='schedulerlogs.savedsearch_name'
07-13-2025 00:00:01.472 INFO  DispatchStorageManagerInfo [252508 searchOrchestrator] - Successfully created new dispatch directory for search job. sid=8f33d364e25a944d_tmp dispatch_dir=C:\Program Files\Splunk\var\run\splunk\dispatch\8f33d364e25a944d_tmp
07-13-2025 00:00:01.605 INFO  SearchProcessor [252508 searchOrchestrator] - Final search filter=
07-13-2025 00:00:01.651 INFO  SearchEvaluatorBasedExpander [252508 searchOrchestrator] -  Performing lookup expansions
07-13-2025 00:00:01.651 INFO  SearchEvaluatorBasedExpander [252508 searchOrchestrator] -  Lookup expansion took 0 ms
07-13-2025 00:00:01.652 INFO  SearchEvaluatorBasedExpander [252508 searchOrchestrator] -  Performing calculated field expansions
07-13-2025 00:00:01.653 INFO  SearchEvaluatorBasedExpander [252508 searchOrchestrator] -  Calculated field expansion took 0 ms
07-13-2025 00:00:01.653 INFO  SearchEvaluatorBasedExpander [252508 searchOrchestrator] -  Performing field alias expansions
07-13-2025 00:00:01.653 INFO  SearchEvaluatorBasedExpander [252508 searchOrchestrator] -  field alias expansions took 0 ms
07-13-2025 00:00:01.653 INFO  SearchEvaluatorBasedExpander [252508 searchOrchestrator] -  Performing kvfield expansions
07-13-2025 00:00:01.653 INFO  SearchEvaluatorBasedExpander [252508 searchOrchestrator] -  kvfield expansions took 0 ms
07-13-2025 00:00:01.653 INFO  SearchEvaluatorBasedExpander [252508 searchOrchestrator] -  Performing indexed fields expansions
07-13-2025 00:00:01.653 INFO  SearchEvaluatorBasedExpander [252508 searchOrchestrator] -  indexed fields expansions took 0 ms
07-13-2025 00:00:01.653 INFO  SearchEvaluatorBasedExpander [252508 searchOrchestrator] -  Performing reverse sourcetype expansions
07-13-2025 00:00:01.661 INFO  SearchEvaluatorBasedExpander [252508 searchOrchestrator] -  sourcetype expansions took 15 ms
07-13-2025 00:00:01.661 INFO  UnifiedSearch [252508 searchOrchestrator] - Expanded index search = (index=_internal sourcetype=splunkd_ui_access method=GET "saved/searches")
07-13-2025 00:00:01.663 INFO  UnifiedSearch [252508 searchOrchestrator] - base lispy: [ AND index::_internal saved searches sourcetype::splunkd_ui_access [ OR get method::get ] ]
07-13-2025 00:00:01.665 INFO  UnifiedSearch [252508 searchOrchestrator] - Processed search targeting arguments
07-13-2025 00:00:01.672 INFO  DispatchThread [252508 searchOrchestrator] - BatchMode: allowBatchMode: 1, conf(1): 1, timeline/Status buckets(0):0, realtime(0):0, report pipe empty(0):0, reqTimeOrder(0):0, summarize(0):0, statefulStreaming(0):0
07-13-2025 00:00:01.674 INFO  DispatchThread [252508 searchOrchestrator] - required fields list to add to remote search = accessTimestamp,reportName,user
07-13-2025 00:00:01.674 INFO  SearchParser [252508 searchOrchestrator] - PARSING: fields keepcolorder=t "accessTimestamp" "reportName" "user"
07-13-2025 00:00:01.674 INFO  DispatchCommandProcessor [252508 searchOrchestrator] - summaryHash=75b78c692517c7cb summaryId=D59BE72C-130E-4AB5-91DF-EC18452C6179_splunk_secure_gateway_admin_75b78c692517c7cb remoteSearch=litsearch (index=_internal sourcetype=splunkd_ui_access method=GET "saved/searches") | eval  decodedUri=urldecode(uri_path)      | eval  accessTimestamp=mvindex(split(uri_query, "_="),1)      | eval  reportName=mvindex(split(mvindex(split(decodedUri, "saved/searches"),1),"/"),1)      | fields  keepcolorder=t "accessTimestamp" "reportName" "user"
07-13-2025 00:00:01.675 INFO  DispatchCommandProcessor [252508 searchOrchestrator] - summaryHash=NS88fe2f5121ee89dd summaryId=D59BE72C-130E-4AB5-91DF-EC18452C6179_splunk_secure_gateway_admin_NS88fe2f5121ee89dd remoteSearch=litsearch (index=_internal sourcetype=splunkd_ui_access method=GET "saved/searches") | eval decodedUri=urldecode(uri_path) | eval accessTimestamp=mvindex(split(uri_query, "_="),1) | eval reportName=mvindex(split(mvindex(split(decodedUri, "saved/searches"),1),"/"),1) | fields keepcolorder=t "accessTimestamp" "reportName" "user"
07-13-2025 00:00:01.675 INFO  DispatchThread [252508 searchOrchestrator] - Getting summary ID for summaryHash=NS88fe2f5121ee89dd
